posx,w,amount,posx1,posx2,center_to_center,edge_to_edge,eccentricity,setsize_cobdi,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,starting_width_deg,response_width_degree,response_width_pixel,adjusting.started,adjusting.stopped,next.keys,next.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,5,,,,,0,12,12,5,,,,,,,,,,,,,,,,num_2,0,0.316111900145188,157.1725444998592,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.35,99999,0.46,0.06,11.35,4,,,,,0,13,13,14,,,,,,,,,,,,,,,,num_1,0,0.48279760009609163,159.40571119985543,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.19,11.51,0.16,0.06,11.35,4,,,,,0,14,14,3,,,,,,,,,,,,,,,,num_2,0,0.6368827999103814,161.5558089998085,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.8,99999,0.5,0.1,11.8,5,,,,,0,15,15,16,,,,,,,,,,,,,,,,num_1,0,0.619924700120464,164.37251719995402,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,3,,,,,0,16,16,7,,,,,,,,,,,,,,,,num_2,0,0.4284171999897808,167.17233869992197,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.35,99999,0.31,0.06,11.35,4,,,,,0,17,17,8,,,,,,,,,,,,,,,,num_1,0,0.30817119986750185,169.77252969983965,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.8,99999,0.5,0.1,11.8,3,,,,,1,0,18,12,,,,,,,,,,,,,,,,num_2,0,0.4428888000547886,172.00585750001483,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.35,99999,0.16,0.06,11.35,4,,,,,1,1,19,2,,,,,,,,,,,,,,,,num_1,0,0.5400894000194967,174.37241589999758,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,5,,,,,1,2,20,5,,,,,,,,,,,,,,,,num_2,0,0.6013027001172304,176.839217599947,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,5,,,,,1,3,21,11,,,,,,,,,,,,,,,,num_1,0,4.952874799957499,178.85578609979711,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,1,4,22,1,,,,,,,,,,,,,,,,num_2,0,0.3354899000842124,185.48898689984344,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,3,,,,,1,5,23,7,,,,,,,,,,,,,,,,num_2,0,0.382586499908939,187.5058546999935,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,1,6,24,15,,,,,,,,,,,,,,,,num_2,0,0.39065130008384585,189.30584299983457,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.35,99999,0.46,0.06,11.35,4,,,,,1,7,25,14,,,,,,,,,,,,,,,,num_1,0,0.288165699923411,191.87248579994775,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,11.3,12.3,0.5,0.1,11.8,5,,,,,1,8,26,17,,,,,,,,,,,,,,,,num_2,0,0.42382630007341504,194.0888268998824,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.19,11.51,0.16,0.06,11.35,4,,,,,1,9,27,3,,,,,,,,,,,,,,,,num_2,0,0.4315563999116421,196.68918069987558,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,1,10,28,10,,,,,,,,,,,,,,,,num_1,0,0.3636292000301182,198.78912430000491,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.04,11.66,0.31,0.06,11.35,4,,,,,1,11,29,9,,,,,,,,,,,,,,,,num_2,0,0.3819150000344962,200.32256189989857,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.8,99999,0.2,0.1,11.8,5,,,,,1,12,30,4,,,,,,,,,,,,,,,,num_1,0,0.3263230000156909,202.12239219993353,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,1,13,31,13,,,,,,,,,,,,,,,,num_2,0,0.3803715999238193,204.37237849994563,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,1,14,32,6,,,,,,,,,,,,,,,,num_1,0,0.5281619997695088,206.67251760000363,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.35,99999,0.31,0.06,11.35,4,,,,,1,15,33,8,,,,,,,,,,,,,,,,num_1,0,0.530401400057599,208.62230539997108,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.8,99999,0.5,0.1,11.8,5,,,,,1,16,34,16,,,,,,,,,,,,,,,,num_1,0,0.4860182998236269,211.32251410000026,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.8,99999,0.2,0.1,11.8,3,,,,,1,17,35,0,,,,,,,,,,,,,,,,num_1,0,0.37356989993713796,213.7390876999125,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.04,11.66,0.31,0.06,11.35,4,,,,,2,0,36,9,,,,,,,,,,,,,,,,num_1,0,1.5834218000527471,216.28899789997377,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,5,,,,,2,1,37,5,,,,,,,,,,,,,,,,num_2,0,0.39155160007067025,219.28904969990253,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.8,99999,0.2,0.1,11.8,5,,,,,2,2,38,4,,,,,,,,,,,,,,,,num_1,0,0.48891770001500845,220.85559819987975,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.8,99999,0.5,0.1,11.8,3,,,,,2,3,39,12,,,,,,,,,,,,,,,,num_1,0,0.32208840013481677,223.02247949992307,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.35,99999,0.46,0.06,11.35,4,,,,,2,4,40,14,,,,,,,,,,,,,,,,num_1,0,0.31654649996198714,224.77213149983436,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,2,5,41,6,,,,,,,,,,,,,,,,num_1,0,0.38664779998362064,227.0058331999462,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.8,99999,0.2,0.1,11.8,3,,,,,2,6,42,0,,,,,,,,,,,,,,,,num_1,0,0.47416760004125535,228.8223615998868,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.35,99999,0.31,0.06,11.35,4,,,,,2,7,43,8,,,,,,,,,,,,,,,,num_2,0,3.0640992999542505,230.4725301999133,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.8,99999,0.5,0.1,11.8,5,,,,,2,8,44,16,,,,,,,,,,,,,,,,num_1,0,0.34702280000783503,235.20565579994582,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,2,9,45,15,,,,,,,,,,,,,,,,num_2,0,0.3825604000594467,236.72220609989017,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,2,10,46,13,,,,,,,,,,,,,,,,num_2,0,0.3487312998622656,238.77214679983445,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,2,11,47,1,,,,,,,,,,,,,,,,num_1,0,0.29378369986079633,240.53895680001006,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,2,12,48,10,,,,,,,,,,,,,,,,num_1,0,0.36308229994028807,242.00566909997724,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,5,,,,,2,13,49,11,,,,,,,,,,,,,,,,num_2,0,0.373032100033015,244.5390758998692,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.35,99999,0.16,0.06,11.35,4,,,,,2,14,50,2,,,,,,,,,,,,,,,,num_1,0,0.44218320003710687,246.83909429982305,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,3,,,,,2,15,51,7,,,,,,,,,,,,,,,,num_2,0,0.4910894997883588,249.20553519995883,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,11.3,12.3,0.5,0.1,11.8,5,,,,,2,16,52,17,,,,,,,,,,,,,,,,num_2,0,0.44644770002923906,251.1222963000182,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.19,11.51,0.16,0.06,11.35,4,,,,,2,17,53,3,,,,,,,,,,,,,,,,num_2,0,0.42982230009511113,252.738924899837,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.35,99999,0.31,0.06,11.35,4,,,,,3,0,54,8,,,,,,,,,,,,,,,,num_1,0,0.33513100002892315,255.0891375998035,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.8,99999,0.2,0.1,11.8,5,,,,,3,1,55,4,,,,,,,,,,,,,,,,num_1,0,0.37885949993506074,257.605802499922,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,3,2,56,10,,,,,,,,,,,,,,,,num_1,0,0.38085770001634955,259.1557482997887,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.8,99999,0.5,0.1,11.8,3,,,,,3,3,57,12,,,,,,,,,,,,,,,,num_1,0,0.35272120009176433,261.4556828998029,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.35,99999,0.46,0.06,11.35,4,,,,,3,4,58,14,,,,,,,,,,,,,,,,num_2,0,2.016041799914092,263.48879459989257,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.35,99999,0.16,0.06,11.35,4,,,,,3,5,59,2,,,,,,,,,,,,,,,,num_1,0,0.32222360000014305,267.42234109994024,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,5,,,,,3,6,60,5,,,,,,,,,,,,,,,,num_2,0,0.33820290002040565,269.42230669991113,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.04,11.66,0.31,0.06,11.35,4,,,,,3,7,61,9,,,,,,,,,,,,,,,,num_2,0,0.4137033000588417,271.9390077998396,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.19,11.51,0.16,0.06,11.35,4,,,,,3,8,62,3,,,,,,,,,,,,,,,,num_2,0,0.5862632000353187,274.0222436999902,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,11.3,12.3,0.5,0.1,11.8,5,,,,,3,9,63,17,,,,,,,,,,,,,,,,num_2,0,0.4573524999432266,276.03910269984044,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.8,99999,0.5,0.1,11.8,5,,,,,3,10,64,16,,,,,,,,,,,,,,,,num_1,0,0.3521350999362767,278.6724691998679,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,3,,,,,3,11,65,7,,,,,,,,,,,,,,,,num_2,0,0.4910154000390321,281.20552449999377,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.8,99999,0.2,0.1,11.8,3,,,,,3,12,66,0,,,,,,,,,,,,,,,,num_1,0,0.35622510011307895,283.37243409990333,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,5,,,,,3,13,67,11,,,,,,,,,,,,,,,,num_2,0,0.3989623999223113,285.9056416999083,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,3,14,68,6,,,,,,,,,,,,,,,,num_1,0,0.3744192998856306,287.7221182999201,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,3,15,69,15,,,,,,,,,,,,,,,,num_2,0,0.3763448998797685,289.2723369000014,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,3,16,70,13,,,,,,,,,,,,,,,,num_2,0,0.4104039999656379,290.8223829998169,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,3,17,71,1,,,,,,,,,,,,,,,,num_2,0,0.2850462000351399,293.1555438998621,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.8,99999,0.2,0.1,11.8,3,,,,,4,0,72,0,,,,,,,,,,,,,,,,num_1,0,0.44992650020867586,294.6224351997953,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,5,,,,,4,1,73,5,,,,,,,,,,,,,,,,num_2,0,2.9475054000504315,296.98904789984226,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,3,,,,,4,2,74,7,,,,,,,,,,,,,,,,num_2,0,0.4433376998640597,301.6054029997904,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,5,,,,,4,3,75,11,,,,,,,,,,,,,,,,num_2,0,0.4020460001192987,304.22231250000186,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.8,99999,0.5,0.1,11.8,5,,,,,4,4,76,16,,,,,,,,,,,,,,,,num_1,0,0.3568497998639941,306.55565419979393,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.35,99999,0.16,0.06,11.35,4,,,,,4,5,77,2,,,,,,,,,,,,,,,,num_1,0,0.4936935000587255,308.3389864999335,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.8,99999,0.2,0.1,11.8,5,,,,,4,6,78,4,,,,,,,,,,,,,,,,num_1,0,0.32310889987275004,311.0057930999901,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,11.3,12.3,0.5,0.1,11.8,3,,,,,4,7,79,13,,,,,,,,,,,,,,,,num_2,0,0.49895930010825396,313.0056554998737,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.19,11.51,0.16,0.06,11.35,4,,,,,4,8,80,3,,,,,,,,,,,,,,,,num_1,0,0.4084854000248015,315.67209429992363,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,11.3,12.3,0.5,0.1,11.8,5,,,,,4,9,81,17,,,,,,,,,,,,,,,,num_2,0,0.4788245998788625,317.5057563998271,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.8,99999,0.35,0.1,11.8,3,,,,,4,10,82,6,,,,,,,,,,,,,,,,num_1,0,0.5367039998527616,319.6557555999607,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.35,99999,0.31,0.06,11.35,4,,,,,4,11,83,8,,,,,,,,,,,,,,,,num_1,0,3.284625500207767,321.3722945000045,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.04,11.66,0.31,0.06,11.35,4,,,,,4,12,84,9,,,,,,,,,,,,,,,,num_2,0,0.39746599993668497,326.33907729992643,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.35,99999,0.46,0.06,11.35,4,,,,,4,13,85,14,,,,,,,,,,,,,,,,num_1,0,0.27895800000987947,328.9056320998352,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,1,11.8,99999,0.5,0.1,11.8,3,,,,,4,14,86,12,,,,,,,,,,,,,,,,num_1,0,0.3568210999947041,331.3555258999113,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,4,15,87,10,,,,,,,,,,,,,,,,num_1,0,0.40751160006038845,332.88896719994955,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.4,2,10.889999999999999,11.81,0.46,0.06,11.35,4,,,,,4,16,88,15,,,,,,,,,,,,,,,,num_2,0,0.3999703999143094,335.47229519998655,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,2,11.600000000000001,12,0.2,0.1,11.8,3,,,,,4,17,89,1,,,,,,,,,,,,,,,,num_2,0,0.6957634000573307,337.28895909991115,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,2,11.450000000000001,12.15,0.35,0.1,11.8,3,,,,,5,0,90,7,,,,,,,,,,,,,,,,num_2,0,1.0048187000211328,339.1556440999266,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.1,1,11.8,99999,0.2,0.1,11.8,3,,,,,5,1,91,0,,,,,,,,,,,,,,,,num_1,0,0.27971849986352026,342.0889533997979,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
,0.25,1,11.8,99999,0.35,0.1,11.8,5,,,,,5,2,92,10,,,,,,,,,,,,,,,,num_1,0,0.2777191000059247,344.53895549988374,None,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
